genus	segmented
Ichnoviriform	yes
Begomovirus	yes
Cystovirus	yes
Phytoreovirus	yes
Fijivirus	yes
Thogotovirus	yes
Mammarenavirus	yes
Alphanodavirus	yes
Tobravirus	yes
Bromovirus	yes
Cucumovirus	yes
Ilarvirus	yes
Alfamovirus	yes
Hordeivirus	yes
Tenuivirus	yes
Bymovirus	yes
Babuvirus	yes
Pecluvirus	yes
Furovirus	yes
Rotavirus	yes
Crinivirus	yes
Benyvirus	yes
Oleavirus	yes
Betanodavirus	yes
Orthobunyavirus	yes
Nanovirus	yes
Pomovirus	yes
Omegatetravirus	yes
Betapartitivirus	yes
Orthoreovirus	yes
Bracoviriform	yes
Orbivirus	yes
Oryzavirus	yes
Alphapartitivirus	yes
Isavirus	yes
Aquareovirus	yes
Seadornavirus	yes
Orthohantavirus	yes
Picobirnavirus	yes
Anulavirus	yes
Gammapartitivirus	yes
Dichorhavirus	yes
Ourmiavirus	yes
Victorivirus	yes
Cypovirus	yes
Alphachrysovirus	yes
Arenavirus	yes
Mycoreovirus	yes
Mimoreovirus	yes
Dinovernavirus	yes
Deltapartitivirus	yes
Comovirus	yes
Orthotospovirus	yes
Alternavirus	yes
Torradovirus	yes
Cryspovirus	yes
Quaranjavirus	yes
Chrysovirus	yes
Quadrivirus	yes
Bidensovirus	yes
Megabirnavirus	yes
Phlebovirus	yes
Betachrysovirus	yes
Goravirus	yes
Reptarenavirus	yes
Botybirnavirus	yes
Aquabirnavirus	yes
Polymycovirus	yes
Nepovirus	yes
Idaeovirus	yes
Emaravirus	yes
Orthonairovirus	yes
Orthophasmavirus	yes
Inshuvirus	yes
Phasivirus	yes
Varicosavirus	yes
Tilapinevirus	yes
Gosmusatellite	yes
Ophiovirus	yes
Mivirus	yes
Yingvirus	yes
Yuyuevirus	yes
Hubavirus	yes
Tapwovirus	yes
Shilevirus	yes
Coltivirus	yes
Pteridovirus	yes
Rubodvirus	yes
Bandavirus	yes
Chuvivirus	yes
Orthocurvulavirus	yes
Lincruvirus	yes
Scarabeuvirus	yes
Actinovirus	yes
Alphainfluenzavirus	yes
Betainfluenzavirus	yes
Deltainfluenzavirus	yes
Gammainfluenzavirus	yes
Orthopicobirnavirus	yes
Cheravirus	yes
Sadwavirus	yes
Blosnavirus	yes
Blunervirus	yes
Fabavirus	yes
Dianthovirus	yes
Cilevirus	yes
Entomobirnavirus	yes
Higrevirus	yes
Avibirnavirus	yes
Telnavirus	yes
Antennavirus	yes
Beidivirus	yes
Coguvirus	yes
Entovirus	yes
Feravirus	yes
Goukovirus	yes
Hartmanivirus	yes
Herbevirus	yes
Horwuvirus	yes
Hudivirus	yes
Hudovirus	yes
Ixovirus	yes
Jonvirus	yes
Laulavirus	yes
Lentinuvirus	yes
Loanvirus	yes
Mechlorovirus	yes
Mobatvirus	yes
Mobuvirus	yes
Pacuvirus	yes
Pidchovirus	yes
Shangavirus	yes
Shaspivirus	yes
Stralarivirus	yes
Striwavirus	yes
Thottimvirus	yes
Uukuvirus	yes
Wenrivirus	yes
Wuhivirus	yes
Orthopoxvirus	no
Parapoxvirus	no
Avipoxvirus	no
Capripoxvirus	no
Leporipoxvirus	no
Suipoxvirus	no
Molluscipoxvirus	no
Betaentomopoxvirus	no
Orthohepadnavirus	no
Alphabaculovirus	no
Ranavirus	no
Asfivirus	no
Chlorovirus	no
Mastadenovirus	no
Xipapillomavirus	no
Deltapapillomavirus	no
Iotapapillomavirus	no
Alphapapillomavirus	no
Kappapapillomavirus	no
Corticovirus	no
Tequatrovirus	no
Muvirus	no
Punavirus	no
Peduovirus	no
Takahashivirus	no
Okubovirus	no
Hpunavirus	no
Tequintavirus	no
Casadabanvirus	no
Lambdavirus	no
Lomovskayavirus	no
Shamshuipovirus	no
Enquatrovirus	no
Beecentumtrevirus	no
Lederbergvirus	no
Salasvirus	no
Mastrevirus	no
Curtovirus	no
Sinsheimervirus	no
Alphatrevirus	no
Spiromicrovirus	no
Coriovirus	no
Lineavirus	no
Totivirus	no
Alphavirus	no
Alphacoronavirus	no
Respirovirus	no
Morbillivirus	no
Orthomarburgvirus	no
Lyssavirus	no
Gammaretrovirus	no
Spumavirus	no
Simiispumavirus	no
Lentivirus	no
Deltaretrovirus	no
Betaretrovirus	no
Alpharetrovirus	no
Lagovirus	no
Vesivirus	no
Norovirus	no
Polerovirus	no
Enterovirus	no
Hepatovirus	no
Aphthovirus	no
Sobemovirus	no
Closterovirus	no
Carlavirus	no
Trichovirus	no
Potexvirus	no
Potyvirus	no
Tobamovirus	no
Hordeivirus	no
Gaunavirus	no
Dubowvirus	no
Eganvirus	no
Allexivirus	no
Deltavirus	no
Omegatetravirus	no
Avihepadnavirus	no
Apscaviroid	no
Pospiviroid	no
Cocadviroid	no
Hostuviroid	no
Pelamoviroid	no
Avsunviroid	no
Coleviroid	no
Capillovirus	no
Fromanvirus	no
Giardiavirus	no
Trichomonasvirus	no
Deltapartitivirus	no
Skunavirus	no
Detrevirus	no
Ceduovirus	no
Badnavirus	no
Flavivirus	no
