species	segmented
Ichnoviriform sonorense	yes
Abutilon mosaic virus	yes
African cassava mosaic virus	yes
Potato yellow mosaic virus	yes
Squash leaf curl virus	yes
Tomato golden mosaic virus	yes
Tomato yellow leaf curl virus	yes
Tomato mottle virus	yes
Bean dwarf mosaic virus	yes
Bean golden mosaic virus	yes
Cystovirus phi6	yes
Rice gall dwarf virus	yes
Wound tumor virus	yes
Maize rough dwarf virus	yes
Rice black streaked dwarf virus	yes
Rice dwarf virus	yes
Thogotovirus dhoriense	yes
Thogotovirus thogotoense	yes
Mammarenavirus lassaense	yes
Mammarenavirus choriomeningitidis	yes
Mammarenavirus machupoense	yes
Mammarenavirus tacaribeense	yes
Black beetle virus	yes
Boolarra virus	yes
Flock House virus	yes
Nodamura virus	yes
Pea early-browning virus	yes
Tobacco rattle virus	yes
Broad bean mottle virus	yes
Brome mosaic virus	yes
Cowpea chlorotic mottle virus	yes
Cucumber mosaic virus	yes
Peanut stunt virus	yes
Tomato aspermy virus	yes
Tobacco streak virus	yes
Apple mosaic virus	yes
Alfalfa mosaic virus	yes
Barley stripe mosaic virus	yes
Tenuivirus zeae	yes
Tenuivirus oryzaclavatae	yes
Tenuivirus oryzalbae	yes
Barley yellow mosaic virus	yes
Barley mild mosaic virus	yes
Banana bunchy top virus	yes
Tomato leaf curl virus	yes
Peanut clump virus	yes
Soil-borne wheat mosaic virus	yes
Rotavirus A	yes
Rotavirus B	yes
Indian cassava mosaic virus	yes
Bean calico mosaic virus	yes
Lettuce infectious yellows virus	yes
Beet necrotic yellow vein virus	yes
Pepper ringspot virus	yes
Indian peanut clump virus	yes
Nilaparvata lugens reovirus	yes
Mungbean yellow mosaic virus	yes
Prune dwarf virus	yes
Olive latent virus 2	yes
Wheat spindle streak mosaic virus	yes
Striped jack nervous necrosis virus	yes
Orthobunyavirus simbuense	yes
Orthobunyavirus bwambaense	yes
Orthobunyavirus teteense	yes
Watermelon chlorotic stunt virus	yes
Rotavirus C	yes
Subterranean clover stunt virus	yes
Lilac ring mottle virus	yes
Citrus leaf rugose virus	yes
Citrus variegation virus	yes
Potato mop-top virus	yes
Helicoverpa armigera stunt virus	yes
Prunus necrotic ringspot virus	yes
Atkinsonella hypoxylon virus	yes
Avian orthoreovirus	yes
Bracoviriform congregatae	yes
Asparagus virus 2	yes
African horse sickness virus	yes
Bluetongue virus	yes
Changuinola virus	yes
Corriparta virus	yes
Epizootic hemorrhagic disease virus	yes
Eubenangee virus	yes
Lebombo virus	yes
Orungo virus	yes
Palyam virus	yes
Umatilla virus	yes
Wallal virus	yes
Warrego virus	yes
Chenuda virus	yes
Wad Medani virus	yes
Rice ragged stunt virus	yes
Tenuivirus echinochloae	yes
Spinach latent virus	yes
Mammarenavirus oliverosense	yes
Barfin flounder nervous necrosis virus	yes
Redspotted grouper nervous necrosis virus	yes
Tiger puffer nervous necrosis virus	yes
Lychnis ringspot virus	yes
Ageratum yellow vein virus	yes
Oat golden stripe virus	yes
Mammarenavirus guanaritoense	yes
Mammarenavirus flexalense	yes
Mammarenavirus latinum	yes
Mammarenavirus tamiamiense	yes
Beet soil-borne virus	yes
Rhizoctonia solani virus 717	yes
Mammarenavirus whitewaterense	yes
Chino del tomate virus	yes
Mammarenavirus piritalense	yes
Sida golden mosaic virus	yes
Cucurbit yellow stunting disorder virus	yes
Cabbage leaf curl virus	yes
Wissadula golden mosaic virus	yes
Macroptilium golden mosaic virus	yes
Tomato infectious chlorosis virus	yes
Cotton leaf curl virus	yes
Papaya leaf curl virus	yes
Bracoviriform demolitoris	yes
Vicia cryptic virus	yes
Mammarenavirus ippyense	yes
Mammarenavirus praomyidis	yes
Tomato yellow vein streak virus	yes
Tenuivirus urochloae	yes
Isavirus salaris	yes
Aquareovirus A	yes
Elm mottle virus	yes
Aquareovirus B	yes
Leonurus mosaic virus	yes
Rice necrosis mosaic virus	yes
Faba bean necrotic yellows virus	yes
East African cassava mosaic virus	yes
South African cassava mosaic virus	yes
Parietaria mottle virus	yes
Tenuivirus oryzabrevis	yes
Milk vetch dwarf virus	yes
Tomato chlorosis virus	yes
Tobacco leaf curl virus	yes
Tomato leaf curl Sinaloa virus	yes
Beet virus Q	yes
Beet pseudoyellows virus	yes
Oat sterile dwarf virus	yes
Jatropha mosaic virus	yes
Wheat yellow mosaic virus	yes
Fusarium poae virus 1	yes
Baboon orthoreovirus	yes
Beet soil-borne mosaic virus	yes
Cotton leaf crumple virus	yes
Fiji disease virus	yes
Banna virus	yes
Euphorbia mosaic virus	yes
Merremia mosaic virus	yes
Cotton yellow mosaic virus	yes
Broad bean necrosis virus	yes
Sweet potato chlorotic stunt virus	yes
Chinese wheat mosaic virus	yes
Pepper leaf curl virus	yes
Tomato yellow leaf curl Thailand virus	yes
Tomato yellow mottle virus	yes
Tomato severe leaf curl virus	yes
Hantavirus Z10	yes
Dicliptera yellow mottle virus	yes
Tomato leaf curl Philippines virus	yes
Sweet potato leaf curl virus	yes
Soil-borne cereal mosaic virus	yes
Pariacoto virus	yes
Potato yellow vein virus	yes
Rabbit picobirnavirus	yes
Kadipiro virus	yes
St Croix River virus	yes
Sorghum chlorotic spot virus	yes
Pelargonium zonate spot virus	yes
Rhynchosia golden mosaic virus	yes
Nelson Bay orthoreovirus	yes
Bhendi yellow vein mosaic virus	yes
Tomato yellow leaf curl Sardinia virus	yes
Tomato curly stunt virus	yes
Tomato rugose mosaic virus	yes
American plum line pattern virus	yes
Cucurbit leaf crumple virus	yes
Mammarenavirus allpahuayoense	yes
Discula destructiva virus 1	yes
