acc	refseq_len	segment_name	superkingdom	kingdom	family	genus	species
NC_029549	2211	segment RNA 2	Viruses	Orthornavirae	Fimoviridae	Emaravirus	Emaravirus tritici
NC_029550	1441	segment 3	Viruses	Orthornavirae	Fimoviridae	Emaravirus	Emaravirus tritici
NC_029551	1682	segment RNA 4	Viruses	Orthornavirae	Fimoviridae	Emaravirus	Emaravirus tritici
NC_029552	1715	segment RNA 5	Viruses	Orthornavirae	Fimoviridae	Emaravirus	Emaravirus tritici
NC_029553	1752	segment RNA 6	Viruses	Orthornavirae	Fimoviridae	Emaravirus	Emaravirus tritici
NC_029570	6981	segment RNA 1	Viruses	Orthornavirae	Fimoviridae	Emaravirus	Emaravirus tritici
NC_029554	1434	segment RNA 7	Viruses	Orthornavirae	Fimoviridae	Emaravirus	Emaravirus tritici
NC_029555	1339	segment RNA 8	Viruses	Orthornavirae	Fimoviridae	Emaravirus	Emaravirus tritici
NC_029558	2135	segment 2	Viruses	Orthornavirae	Fimoviridae	Emaravirus	Emaravirus idaeobati
NC_029559	1365	segment 3	Viruses	Orthornavirae	Fimoviridae	Emaravirus	Emaravirus idaeobati
NC_029560	1675	segment 4	Viruses	Orthornavirae	Fimoviridae	Emaravirus	Emaravirus idaeobati
NC_029561	1718	segment 5	Viruses	Orthornavirae	Fimoviridae	Emaravirus	Emaravirus idaeobati
NC_029571	1095	segment 6	Viruses	Orthornavirae	Fimoviridae	Emaravirus	Emaravirus idaeobati
NC_029572	1089	segment 7	Viruses	Orthornavirae	Fimoviridae	Emaravirus	Emaravirus idaeobati
NC_029573	1273	segment 8	Viruses	Orthornavirae	Fimoviridae	Emaravirus	Emaravirus idaeobati
NC_029567	7062	segment 1	Viruses	Orthornavirae	Fimoviridae	Emaravirus	Emaravirus idaeobati
NC_029562	7039	segment 1	Viruses	Orthornavirae	Fimoviridae	Emaravirus	Emaravirus fici
NC_029568	1212	segment 6	Viruses	Orthornavirae	Fimoviridae	Emaravirus	Emaravirus fici
NC_029563	1490	segment 3	Viruses	Orthornavirae	Fimoviridae	Emaravirus	Emaravirus fici
NC_029564	1472	segment 4	Viruses	Orthornavirae	Fimoviridae	Emaravirus	Emaravirus fici
NC_029565	2252	segment 2	Viruses	Orthornavirae	Fimoviridae	Emaravirus	Emaravirus fici
NC_029566	1752	segment 5	Viruses	Orthornavirae	Fimoviridae	Emaravirus	Emaravirus fici
NC_029556	2223	segment 2	Viruses	Orthornavirae	Fimoviridae	Emaravirus	Emaravirus cajani
NC_029557	1563	segment 4	Viruses	Orthornavirae	Fimoviridae	Emaravirus	Emaravirus cajani
NC_029569	1801	segment 5	Viruses	Orthornavirae	Fimoviridae	Emaravirus	Emaravirus cajani
NC_029574	1442	segment 3	Viruses	Orthornavirae	Fimoviridae	Emaravirus	Emaravirus cajani
NC_029575	7022	segment 1	Viruses	Orthornavirae	Fimoviridae	Emaravirus	Emaravirus cajani
NC_029578	4020	segment	Viruses	Orthornavirae	Solemoviridae	Sobemovirus	Blueberry shoestring virus
NC_029617	6380	segment	Viruses				Lake Sarah-associated circular virus-28
NC_030691	8904	segment	Viruses	Orthornavirae	Bornaviridae	Orthobornavirus	Orthobornavirus avisaquaticae
NC_017862	7582	segment	Viruses	Shotokuvirae	Papillomaviridae	Dyoiotapapillomavirus	Dyoiotapapillomavirus 1
NC_017936	7696	segment	Viruses	Orthornavirae	Caliciviridae	Sapovirus	Bat sapovirus TLC58/HK
NC_017937	15276	segment	Viruses	Orthornavirae	Paramyxoviridae	Narmovirus	Narmovirus narivaense
NC_017938	3753	segment RNA 2	Viruses	Orthornavirae	Secoviridae	Nepovirus	Nepovirus deformationis
NC_017939	7386	segment RNA 1	Viruses	Orthornavirae	Secoviridae	Nepovirus	Nepovirus deformationis
NC_029648	2748	segment DNA A	Viruses	Shotokuvirae	Geminiviridae	Begomovirus	Cotton leaf curl Shahdadpur virus
NC_017977	9908	segment	Viruses	Orthornavirae	Potyviridae	Potyvirus	Cyrtanthus elatus virus A
NC_017967	9660	segment	Viruses	Orthornavirae	Potyviridae	Potyvirus	Hippeastrum mosaic virus
NC_017970	10731	segment	Viruses	Orthornavirae	Potyviridae	Potyvirus	Sweet potato virus 2
NC_017988	1491	segment 2	Viruses	Orthornavirae	Partitiviridae		Persimmon cryptic virus
NC_017989	1577	segment 1	Viruses	Orthornavirae	Partitiviridae		Persimmon cryptic virus
NC_017987	2751	segment DNA A	Viruses	Shotokuvirae	Geminiviridae	Begomovirus	Sida yellow mosaic China virus
NC_017993	7293	segment	Viruses	Shotokuvirae	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 15
NC_017994	7319	segment	Viruses	Shotokuvirae	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 11
NC_029691	6017	segment	Viruses	Orthornavirae	Solemoviridae	Polerovirus	Ixeridium yellow mottle virus 1
NC_017916	2459	segment	Viruses	Shotokuvirae	Smacoviridae		Pig stool associated circular ssDNA virus GER2011
NC_017914	4138	segment	Viruses	Orthornavirae	Solemoviridae	Sobemovirus	Artemisia virus A
NC_017917	2882	segment	Viruses	Shotokuvirae	Geminiviridae	Mastrevirus	Maize streak Reunion virus
NC_017913	2589	segment DNA B	Viruses	Shotokuvirae	Geminiviridae	Begomovirus	Tomato yellow leaf distortion virus
NC_011348	2630	segment DNA A	Viruses	Shotokuvirae	Geminiviridae	Begomovirus	Tomato yellow leaf distortion virus
NC_017995	7236	segment	Viruses	Shotokuvirae	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 16
NC_017996	7341	segment	Viruses	Shotokuvirae	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 11
NC_017997	7271	segment	Viruses	Shotokuvirae	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 17
NC_017990	6215	segment RNA 1	Viruses	Orthornavirae		Botybirnavirus	Botrytis porri botybirnavirus 1
NC_017991	5879	segment RNA 2	Viruses	Orthornavirae		Botybirnavirus	Botrytis porri botybirnavirus 1
NC_029803	2702	segment DNA B	Viruses	Shotokuvirae	Geminiviridae	Begomovirus	Deinbollia mosaic virus
NC_029804	2759	segment DNA A	Viruses	Shotokuvirae	Geminiviridae	Begomovirus	Deinbollia mosaic virus
NC_029783	17608	segment	Viruses	Orthornavirae	Closteroviridae	Ampelovirus	Grapevine leafroll-associated virus 13
NC_029782	2984	segment	Viruses	Orthornavirae	Narnaviridae		Phytophthora infestans RNA virus 4
NC_029797	4765	segment	Viruses	Shotokuvirae	Parvoviridae	Protoparvovirus	Protoparvovirus chiropteran1
NC_029799	8880	segment L	Viruses	Orthornavirae	Tospoviridae	Orthotospovirus	Orthotospovirus iridimaculaflavi
NC_029800	3105	segment S	Viruses	Orthornavirae	Tospoviridae	Orthotospovirus	Orthotospovirus iridimaculaflavi
NC_038232	4838	segment M	Viruses	Orthornavirae	Tospoviridae	Orthotospovirus	Orthotospovirus iridimaculaflavi
NC_029802	1730	segment S	Viruses	Orthornavirae	Picobirnaviridae	Picobirnavirus	Porcine picobirnavirus
NC_029801	2666	segment L	Viruses	Orthornavirae	Picobirnaviridae	Picobirnavirus	Porcine picobirnavirus
NC_018072	4886	segment M	Viruses	Orthornavirae	Tospoviridae	Orthotospovirus	Orthotospovirus phaseolinecrotessellati
NC_018071	2584	segment S	Viruses	Orthornavirae	Tospoviridae	Orthotospovirus	Orthotospovirus phaseolinecrotessellati
NC_018070	9040	segment L	Viruses	Orthornavirae	Tospoviridae	Orthotospovirus	Orthotospovirus phaseolinecrotessellati
NC_029853	8183	segment	Viruses	Pararnavirae	Retroviridae	Gammaretrovirus	Mus musculus mobilized endogenous polytropic provirus
