Accession	Organism_Name	GenBank_RefSeq	Release_Date	Isolate	Species	Genus	Family	Length	Nuc_Completeness	Genotype	Segment	Country	Host	Tissue_Specimen_Source	Collection_Date	GenBank_Title
NC_086348	Frijoles virus	RefSeq	2024-03-19	VP-161A	Frijoles phlebovirus	Phlebovirus	Phenuiviridae	6374	complete			Panama	Lutzomyia		1969-11-24	Frijoles virus isolate VP-161A, complete sequence
NC_086346	Frijoles virus	RefSeq	2024-03-12	VP-161A	Frijoles phlebovirus	Phlebovirus	Phenuiviridae	1863	complete			Panama	Lutzomyia		1969-11-24	Frijoles virus isolate VP-161A, complete sequence
NC_086347	Frijoles virus	RefSeq	2024-03-12	VP-161A	Frijoles phlebovirus	Phlebovirus	Phenuiviridae	4310	complete			Panama	Lutzomyia		1969-11-24	Frijoles virus isolate VP-161A, complete sequence
NC_083851	Bird's-foot trefoil nucleorhabdovirus	RefSeq	2024-02-21	LC	Bird's-foot trefoil nucleorhabdovirus	Nucleorhabdovirus	Rhabdoviridae	13626	complete				Lotus corniculatus			Bird's-foot trefoil nucleorhabdovirus isolate LC, complete genome
NC_079174	Erwinia phage Fifi44	RefSeq	2023-05-17		Erwinia phage Fifi44	Loessnervirus	Chaseviridae	53559	complete			South Korea	Erwinia amylovora		2020-09	Erwinia phage Fifi44, complete genome
NC_079175	Escherichia phage PO103-1	RefSeq	2023-05-17		Escherichia phage PO103-1		Chaseviridae	53040	complete			China	Escherichia coli			Escherichia phage PO103-1, complete genome
NC_079176	Escherichia phage MLP1	RefSeq	2023-05-17		Escherichia phage MLP1		Chaseviridae	51940	complete			Chile	Escherichia coli CFT073		2019	Escherichia phage MLP1, complete genome
NC_079177	Yersinia phage PYps3T	RefSeq	2023-05-17		Yersinia phage PYps3T		Chaseviridae	52854	complete			Germany	Yersinia pseudotuberculosis		2019	Yersinia phage PYps3T, complete genome
NC_079178	Yersinia phage PYps23T	RefSeq	2023-05-17		Yersinia phage PYps23T		Chaseviridae	54869	complete			Germany	Yersinia pseudotuberculosis		2019	Yersinia phage PYps23T, complete genome
NC_079179	Yersinia phage PYps16N	RefSeq	2023-05-17		Yersinia phage PYps16N		Chaseviridae	52376	complete			Germany	Yersinia pseudotuberculosis		2019	Yersinia phage PYps16N, complete genome
NC_079180	Escherichia phage SKA49	RefSeq	2023-05-17		Escherichia phage SKA49	Carltongylesvirus	Chaseviridae	51548	complete			Pakistan	Escherichia coli		2020-06-10	Escherichia phage SKA49, complete genome
NC_079181	Escherichia phage vB_EcoP_Bp7	RefSeq	2023-05-17		Escherichia phage vB_EcoP_Bp7	Carltongylesvirus	Chaseviridae	52615	complete				Escherichia coli			Escherichia phage vB_EcoP_Bp7, complete genome
NC_079182	Escherichia phage vB_EcoM_Bp10	RefSeq	2023-05-17		Escherichia phage vB_EcoM_Bp10	Carltongylesvirus	Chaseviridae	52288	complete				Escherichia sp.			Escherichia phage vB_EcoM_Bp10, complete genome
NC_079183	Escherichia phage vB_EcoM_SA91KD	RefSeq	2023-05-17		Escherichia phage vB_EcoM_SA91KD	Carltongylesvirus	Chaseviridae	53673	complete			South Africa	Escherichia coli O156:H25		2017	Escherichia phage vB_EcoM_SA91KD, complete genome
